ID,Sample ID,Site,Fieldtype,Crop,Group,Treatment,Latitude,Values_day60,Values_day30
469,SYRU1,SY,Upland,MangoOrchard,PE,UplandPE,18.34,602.154,628.762
470,SYRU2,SY,Upland,Orchard,PE,UplandPE,18.34,686.076,639.462
471,SYRU3,SY,Upland,Maize,PE,UplandPE,18.34,803.424,690.935
472,HKRU1,HK,Upland,LitchiOrchard,PE,UplandPE,19.76,839.502,786.035
473,HKRU2,HK,Upland,LitchiOrchard,PE,UplandPE,19.76,763.322,645.033
474,HKRU3,HK,Upland,LitchiOrchard,PE,UplandPE,19.76,730.699,664.613
475,SXRU1,SX,Upland,Saccharum,PE,UplandPE,21.4,785.49,682.929
476,SXRU2,SX,Upland,Saccharum,PE,UplandPE,21.4,744.136,693.008
477,SXRU3,SX,Upland,Saccharum,PE,UplandPE,21.43,590.665,533.402
478,YLRU1,YL,Upland,Maize,PE,UplandPE,22.57,488.283,421.134
479,YLRU2,YL,Upland,Maize,PE,UplandPE,22.57,673.919,618.386
480,YLRU3,YL,Upland,Maize,PE,UplandPE,22.56,626.743,603.945
481,WZRU1,WZ,Upland,Maize,PE,UplandPE,23.55,445.846,414.862
482,WZRU2,WZ,Upland,Maize,PE,UplandPE,23.55,484.701,463.231
483,WZRU3,WZ,Upland,Peanut,PE,UplandPE,23.56,633.645,542.821
484,JHRU1,JH,Upland,Peanut,PE,UplandPE,25.21,313.667,283.359
485,JHRU2,JH,Upland,Teabush,PE,UplandPE,25.21,492.895,514.284
486,JHRU3,JH,Upland,Peanut,PE,UplandPE,25.21,564.198,512.021
487,QYRU1,QY,Upland,Maize,PE,UplandPE,26.76,782.997,734.951
488,QYRU2,QY,Upland,SweetPotato,PE,UplandPE,26.76,897.059,861.885
489,QYRU3,QY,Upland,Maize,PE,UplandPE,26.77,913.038,867.512
490,LDRU1,LD,Upland,Teabush,PE,UplandPE,27.64,1144.393,1096.64
491,LDRU2,LD,Upland,Maize,PE,UplandPE,27.64,1117.932,1053.463
492,LDRU3,LD,Upland,Vegetable,PE,UplandPE,27.62,1001.185,932.872
493,YiYangRU1,YiYang,Upland,Grape,PE,UplandPE,28.58,1032.616,1014.796
494,YiYangRU2,YiYang,Upland,Grape,PE,UplandPE,28.58,1004.587,946.558
495,YiYangRU3,YiYang,Upland,Grape,PE,UplandPE,28.58,1191.38,1033.163
496,HRRU1,HR,Upland,Cole,PE,UplandPE,29.51,626.18,568.023
497,HRRU2,HR,Upland,Cole,PE,UplandPE,29.51,468.453,444.273
498,HRRU3,HR,Upland,Cole,PE,UplandPE,29.51,451.089,448.249
499,QJRU1,QJ,Upland,Wheat,PE,UplandPE,30.46,727.145,672.257
500,QJRU2,QJ,Upland,Wheat,PE,UplandPE,30.46,775.803,666.999
501,QJRU3,QJ,Upland,Wheat,PE,UplandPE,30.46,687.528,766.151
502,XGRU1,XG,Upland,Cotton,PE,UplandPE,30.94,1020.089,951.377
503,XGRU2,XG,Upland,Wheat,PE,UplandPE,30.94,945.409,889.325
504,XGRU3,XG,Upland,Wheat,PE,UplandPE,30.94,1086.005,1013.595
505,XYRU1,XY,Upland,Maize,PE,UplandPE,32.2,947.486,868.506
506,XYRU2,XY,Upland,Maize,PE,UplandPE,32.2,1078.912,933.947
507,XYRU3,XY,Upland,Maize,PE,UplandPE,32.2,1055.704,968.168
508,LHRU1,LH,Upland,Wheat,PE,UplandPE,33.52,859.877,838.793
509,LHRU2,LH,Upland,Wheat,PE,UplandPE,33.52,1270.509,1143.327
510,LHRU3,LH,Upland,Wheat,PE,UplandPE,33.52,725.766,830.124
511,YYRU1,YY,Upland,Wheat,PE,UplandPE,35.01,512.438,658.22
512,YYRU2,YY,Upland,Wheat,PE,UplandPE,35,512.054,531.975
513,YYRU3,YY,Upland,Wheat,PE,UplandPE,35.02,657.266,611.86
514,HDRU1,HD,Upland,Wheat,PE,UplandPE,36.43,267.143,350.868
515,HDRU2,HD,Upland,Wheat,PE,UplandPE,36.44,605.062,531.875
516,HDRU3,HD,Upland,Wheat,PE,UplandPE,36.44,336.134,503.01
517,XJRU1,XJ,Upland,Wheat,PE,UplandPE,37.88,422.928,393.412
518,XJRU2,XJ,Upland,Wheat,PE,UplandPE,37.88,519.516,498.682
519,XJRU3,XJ,Upland,Wheat,PE,UplandPE,37.88,478.138,401.245
520,BZRU1,BZ,Upland,Wheat,PE,UplandPE,39.15,600.052,481.082
521,BZRU2,BZ,Upland,Wheat,PE,UplandPE,39.15,679.589,629.887
522,BZRU3,BZ,Upland,Wheat,PE,UplandPE,39.14,959.909,880.695
523,QHDRU1,QHD,Upland,Maize,PE,UplandPE,39.82,771.92,718.434
524,QHDRU2,QHD,Upland,Maize,PE,UplandPE,39.83,1009.342,892.647
525,QHDRU3,QHD,Upland,Maize,PE,UplandPE,39.81,989.383,930.573
526,PJRU1,PJ,Upland,Maize,PE,UplandPE,41.24,644.707,647.634
527,PJRU2,PJ,Upland,Maize,PE,UplandPE,41.24,507.641,487.23
528,PJRU3,PJ,Upland,Maize,PE,UplandPE,41.24,518.05,582.522
529,SYSRU1,SYS,Upland,Maize,PE,UplandPE,42,922.305,852.576
530,SYSRU2,SYS,Upland,Maize,PE,UplandPE,42,950.404,854.429
531,SYSRU3,SYS,Upland,Maize,PE,UplandPE,42,960.282,820.231
532,SPRU1,SP,Upland,Maize,PE,UplandPE,43.26,1152.479,958.324
533,SPRU2,SP,Upland,Maize,PE,UplandPE,43.26,948.618,846.664
534,SPRU3,SP,Upland,Maize,PE,UplandPE,43.25,951.182,845.868
535,DHRU1,DH,Upland,Maize,PE,UplandPE,44.55,1023.178,1001.477
536,DHRU2,DH,Upland,Maize,PE,UplandPE,44.55,1253.699,1147.165
537,DHRU3,DH,Upland,Maize,PE,UplandPE,44.55,883.945,824.653
538,HLRU1,HL,Upland,Maize,PE,UplandPE,47.46,635.919,758.163
539,HLRU2,HL,Upland,Maize,PE,UplandPE,47.46,883.908,814.608
540,HLRU3,HL,Upland,Maize,PE,UplandPE,47.46,411.596,400.872
541,HEBRU1,HEB,Upland,Maize,PE,UplandPE,45.83,362.593,309.24
542,HEBRU2,HEB,Upland,Maize,PE,UplandPE,45.83,429.574,407.57
543,HEBRU3,HEB,Upland,Maize,PE,UplandPE,45.83,294.47,300.57
544,NJRU1,NJ,Upland,Maize,PE,UplandPE,49.13,761.857,673.803
545,NJRU2,NJ,Upland,Maize,PE,UplandPE,49.14,389.338,436.774
546,NJRU3,NJ,Upland,Maize,PE,UplandPE,49.14,648.707,581.301
547,HMRU1,HM,Upland,Maize,PE,UplandPE,51.72,522.958,458.5
548,HMRU2,HM,Upland,Maize,PE,UplandPE,51.72,594.33,515.618
549,HMRU3,HM,Upland,Maize,PE,UplandPE,51.72,589.551,531.709
550,MHRU1,MH,Upland,Soybean,PE,UplandPE,53.49,617.932,648.459
551,MHRU2,MH,Upland,Soybean,PE,UplandPE,53.49,547.58,528.897
552,MHRU3,MH,Upland,Soybean,PE,UplandPE,53.49,722.886,617.56
553,SYRP1,SY,Paddy,Rice,PE,PaddyPE,18.34,807.484,653.475
554,SYRP2,SY,Paddy,Rice,PE,PaddyPE,18.34,676.109,652.808
555,SYRP3,SY,Paddy,Rice,PE,PaddyPE,18.34,758.225,579.405
556,HKRP1,HK,Paddy,Rice,PE,PaddyPE,19.81,635.058,548.165
557,HKRP2,HK,Paddy,Rice,PE,PaddyPE,19.8,582.216,625.425
558,HKRP3,HK,Paddy,Rice,PE,PaddyPE,19.82,1014.936,984.141
559,SXRP1,SX,Paddy,Rice,PE,PaddyPE,21.4,596.11,500.952
560,SXRP2,SX,Paddy,Rice,PE,PaddyPE,21.4,574.103,521.432
561,SXRP3,SX,Paddy,Rice,PE,PaddyPE,21.43,639.546,556.572
562,YLRP1,YL,Paddy,Rice,PE,PaddyPE,22.57,373.848,457.998
563,YLRP2,YL,Paddy,Rice,PE,PaddyPE,22.57,516.079,378.334
564,YLRP3,YL,Paddy,Rice,PE,PaddyPE,22.56,717.906,615.553
565,WZRP1,WZ,Paddy,Rice,PE,PaddyPE,23.55,625.238,549.465
566,WZRP2,WZ,Paddy,Rice,PE,PaddyPE,23.55,875.563,770.17
567,WZRP3,WZ,Paddy,Rice,PE,PaddyPE,23.55,523.126,446.802
568,JHRP1,JH,Paddy,Rice,PE,PaddyPE,25.21,608.549,499.92
569,JHRP2,JH,Paddy,Rice,PE,PaddyPE,25.21,249.35,239.57
570,JHRP3,JH,Paddy,Rice,PE,PaddyPE,25.21,710.637,615.055
571,QYRP1,QY,Paddy,Rice,PE,PaddyPE,26.76,692.127,542.872
572,QYRP2,QY,Paddy,Rice,PE,PaddyPE,26.76,635.462,546.284
573,QYRP3,QY,Paddy,Rice,PE,PaddyPE,26.76,504.388,452.579
574,LDRP1,LD,Paddy,Rice,PE,PaddyPE,27.63,329.18,217.918
575,LDRP2,LD,Paddy,Rice,PE,PaddyPE,27.63,498.429,380.798
576,LDRP3,LD,Paddy,Rice,PE,PaddyPE,27.62,658.159,515.111
577,YiYangRP1,YiYang,Paddy,Rice,PE,PaddyPE,28.6,949.903,814.944
578,YiYangRP2,YiYang,Paddy,Rice,PE,PaddyPE,28.44,991.284,710.864
579,YiYangRP3,YiYang,Paddy,Rice,PE,PaddyPE,28.6,800.703,654.643
580,HRRP1,HR,Paddy,Rice,PE,PaddyPE,29.51,333.172,446.937
581,HRRP2,HR,Paddy,Rice,PE,PaddyPE,29.51,444.113,327.387
582,HRRP3,HR,Paddy,Rice,PE,PaddyPE,29.51,629.757,439.123
583,QJRP1,QJ,Paddy,Rice,PE,PaddyPE,30.43,597.065,396.956
584,QJRP2,QJ,Paddy,Rice,PE,PaddyPE,30.39,442.747,308.059
585,QJRP3,QJ,Paddy,Rice,PE,PaddyPE,30.4,721.404,620.801
586,XGRP1,XG,Paddy,Rice,PE,PaddyPE,30.94,804.472,654.955
587,XGRP2,XG,Paddy,Rice,PE,PaddyPE,30.94,535.172,588.908
588,XGRP3,XG,Paddy,Rice,PE,PaddyPE,30.94,684.029,711.797
589,XYRP1,XY,Paddy,Rice,PE,PaddyPE,32.2,670.041,613.994
590,XYRP2,XY,Paddy,Rice,PE,PaddyPE,32.2,767.437,643.006
591,XYRP3,XY,Paddy,Rice,PE,PaddyPE,32.2,796.459,684.598
592,YYRP1,YY,Paddy,Rice,PE,PaddyPE,35.02,788.086,622.378
593,YYRP2,YY,Paddy,Rice,PE,PaddyPE,35.02,431.045,447.445
594,YYRP3,YY,Paddy,Rice,PE,PaddyPE,35.02,496.361,475.729
595,HDRP1,HD,Paddy,Rice,PE,PaddyPE,36.44,719.399,732.348
596,HDRP2,HD,Paddy,Rice,PE,PaddyPE,36.45,448.677,365.39
597,HDRP3,HD,Paddy,Rice,PE,PaddyPE,36.45,571.003,514.882
598,QHDRP1,QHD,Paddy,Rice,PE,PaddyPE,39.82,595.786,463.516
599,QHDRP2,QHD,Paddy,Rice,PE,PaddyPE,39.82,561.664,479.701
600,QHDRP3,QHD,Paddy,Rice,PE,PaddyPE,39.81,764.916,646.254
601,PJRP1,PJ,Paddy,Rice,PE,PaddyPE,41.24,583.37,553.216
602,PJRP2,PJ,Paddy,Rice,PE,PaddyPE,41.24,609.848,518.444
604,SYSRP1,SYS,Paddy,Rice,PE,PaddyPE,42.02,517.395,472.148
605,SYSRP2,SYS,Paddy,Rice,PE,PaddyPE,42.01,305.511,253.093
606,SYSRP3,SYS,Paddy,Rice,PE,PaddyPE,42.01,393.598,386.506
607,SPRP1,SP,Paddy,Rice,PE,PaddyPE,43.25,589.146,502.35
608,SPRP2,SP,Paddy,Rice,PE,PaddyPE,43.26,658.366,370.676
609,SPRP3,SP,Paddy,Rice,PE,PaddyPE,43.26,279.338,220.031
610,DHRP1,DH,Paddy,Rice,PE,PaddyPE,44.56,460.482,397.076
611,DHRP2,DH,Paddy,Rice,PE,PaddyPE,44.55,570.073,522.529
612,DHRP3,DH,Paddy,Rice,PE,PaddyPE,44.55,274.352,265.423
613,HLRP1,HL,Paddy,Rice,PE,PaddyPE,47.46,471.882,411.415
614,HLRP2,HL,Paddy,Rice,PE,PaddyPE,47.46,545.259,501.342
615,HLRP3,HL,Paddy,Rice,PE,PaddyPE,47.46,693.162,536.476
616,HEBRP1,HEB,Paddy,Rice,PE,PaddyPE,45.83,434.697,281.669
617,HEBRP2,HEB,Paddy,Rice,PE,PaddyPE,45.83,362.577,325.808
618,HEBRP3,HEB,Paddy,Rice,PE,PaddyPE,45.82,351.047,408.478
619,NJRP1,NJ,Paddy,Rice,PE,PaddyPE,49.14,306.519,256.01
620,NJRP2,NJ,Paddy,Rice,PE,PaddyPE,49.14,590.669,431.512
621,NJRP3,NJ,Paddy,Rice,PE,PaddyPE,49.14,713.635,549.934
622,HMRP1,HM,Paddy,Rice,PE,PaddyPE,51.74,475.267,428.177
623,HMRP2,HM,Paddy,Rice,PE,PaddyPE,51.74,645.646,499.186
624,HMRP3,HM,Paddy,Rice,PE,PaddyPE,51.74,547.45,507.378
