ID,Sample ID,Site,Fieldtype,Crop,Pairs,Group,PE,Straw_BR
1,SYRU1,SY,Upland,MangoOrchard,PE_Straw,UplandPE_Straw,602.154,373.969
2,SYRU2,SY,Upland,Orchard,PE_Straw,UplandPE_Straw,686.076,255.785
3,SYRU3,SY,Upland,Maize,PE_Straw,UplandPE_Straw,803.424,390.463
4,HKRU1,HK,Upland,LitchiOrchard,PE_Straw,UplandPE_Straw,839.502,336.133
5,HKRU2,HK,Upland,LitchiOrchard,PE_Straw,UplandPE_Straw,763.322,163.476
6,HKRU3,HK,Upland,LitchiOrchard,PE_Straw,UplandPE_Straw,730.699,137.415
7,SXRU1,SX,Upland,Saccharum,PE_Straw,UplandPE_Straw,785.49,303.556
8,SXRU2,SX,Upland,Saccharum,PE_Straw,UplandPE_Straw,744.136,335.008
9,SXRU3,SX,Upland,Saccharum,PE_Straw,UplandPE_Straw,590.665,220.252
10,YLRU1,YL,Upland,Maize,PE_Straw,UplandPE_Straw,488.283,119.242
11,YLRU2,YL,Upland,Maize,PE_Straw,UplandPE_Straw,673.919,152.036
12,YLRU3,YL,Upland,Maize,PE_Straw,UplandPE_Straw,626.743,178.247
13,WZRU1,WZ,Upland,Maize,PE_Straw,UplandPE_Straw,445.846,98.195
14,WZRU2,WZ,Upland,Maize,PE_Straw,UplandPE_Straw,484.701,130.575
15,WZRU3,WZ,Upland,Peanut,PE_Straw,UplandPE_Straw,633.645,181.254
16,JHRU1,JH,Upland,Peanut,PE_Straw,UplandPE_Straw,313.667,86.703
17,JHRU2,JH,Upland,Teabush,PE_Straw,UplandPE_Straw,492.895,106.713
18,JHRU3,JH,Upland,Peanut,PE_Straw,UplandPE_Straw,564.198,99.472
19,QYRU1,QY,Upland,Maize,PE_Straw,UplandPE_Straw,782.997,313.064
20,QYRU2,QY,Upland,SweetPotato,PE_Straw,UplandPE_Straw,897.059,295.698
21,QYRU3,QY,Upland,Maize,PE_Straw,UplandPE_Straw,913.038,504.631
22,LDRU1,LD,Upland,Teabush,PE_Straw,UplandPE_Straw,1144.393,472.896
23,LDRU2,LD,Upland,Maize,PE_Straw,UplandPE_Straw,1117.932,484.87
24,LDRU3,LD,Upland,Vegetable,PE_Straw,UplandPE_Straw,1001.185,361.89
25,YiYangRU1,YiYang,Upland,Grape,PE_Straw,UplandPE_Straw,1032.616,296.375
26,YiYangRU2,YiYang,Upland,Grape,PE_Straw,UplandPE_Straw,1004.587,263.322
27,YiYangRU3,YiYang,Upland,Grape,PE_Straw,UplandPE_Straw,1191.38,299.22
28,HRRU1,HR,Upland,Cole,PE_Straw,UplandPE_Straw,626.18,93.173
29,HRRU2,HR,Upland,Cole,PE_Straw,UplandPE_Straw,468.453,94.712
30,HRRU3,HR,Upland,Cole,PE_Straw,UplandPE_Straw,451.089,93.789
31,QJRU1,QJ,Upland,Wheat,PE_Straw,UplandPE_Straw,727.145,160.593
32,QJRU2,QJ,Upland,Wheat,PE_Straw,UplandPE_Straw,775.803,146.131
33,QJRU3,QJ,Upland,Wheat,PE_Straw,UplandPE_Straw,687.528,187.745
34,XGRU1,XG,Upland,Cotton,PE_Straw,UplandPE_Straw,1020.089,333.916
35,XGRU2,XG,Upland,Wheat,PE_Straw,UplandPE_Straw,945.409,230.684
36,XGRU3,XG,Upland,Wheat,PE_Straw,UplandPE_Straw,1086.005,315.543
37,XYRU1,XY,Upland,Maize,PE_Straw,UplandPE_Straw,947.486,244.973
38,XYRU2,XY,Upland,Maize,PE_Straw,UplandPE_Straw,1078.912,270.1
39,XYRU3,XY,Upland,Maize,PE_Straw,UplandPE_Straw,1055.704,230.616
40,LHRU1,LH,Upland,Wheat,PE_Straw,UplandPE_Straw,859.877,218.827
41,LHRU2,LH,Upland,Wheat,PE_Straw,UplandPE_Straw,1270.509,289.917
42,LHRU3,LH,Upland,Wheat,PE_Straw,UplandPE_Straw,725.766,220.151
43,YYRU1,YY,Upland,Wheat,PE_Straw,UplandPE_Straw,512.438,125.1
44,YYRU2,YY,Upland,Wheat,PE_Straw,UplandPE_Straw,512.054,127.38
45,YYRU3,YY,Upland,Wheat,PE_Straw,UplandPE_Straw,657.266,136.756
46,HDRU1,HD,Upland,Wheat,PE_Straw,UplandPE_Straw,267.143,80.221
47,HDRU2,HD,Upland,Wheat,PE_Straw,UplandPE_Straw,605.062,110.036
48,HDRU3,HD,Upland,Wheat,PE_Straw,UplandPE_Straw,336.134,87.178
49,XJRU1,XJ,Upland,Wheat,PE_Straw,UplandPE_Straw,422.928,81.317
50,XJRU2,XJ,Upland,Wheat,PE_Straw,UplandPE_Straw,519.516,116.703
51,XJRU3,XJ,Upland,Wheat,PE_Straw,UplandPE_Straw,478.138,55.841
52,BZRU1,BZ,Upland,Wheat,PE_Straw,UplandPE_Straw,600.052,103.383
53,BZRU2,BZ,Upland,Wheat,PE_Straw,UplandPE_Straw,679.589,113.19
54,BZRU3,BZ,Upland,Wheat,PE_Straw,UplandPE_Straw,959.909,238.941
55,QHDRU1,QHD,Upland,Maize,PE_Straw,UplandPE_Straw,771.92,376.58
56,QHDRU2,QHD,Upland,Maize,PE_Straw,UplandPE_Straw,1009.342,187.868
57,QHDRU3,QHD,Upland,Maize,PE_Straw,UplandPE_Straw,989.383,112.053
58,PJRU1,PJ,Upland,Maize,PE_Straw,UplandPE_Straw,644.707,143.354
59,PJRU2,PJ,Upland,Maize,PE_Straw,UplandPE_Straw,507.641,106.82
60,PJRU3,PJ,Upland,Maize,PE_Straw,UplandPE_Straw,518.05,152.708
61,SYSRU1,SYS,Upland,Maize,PE_Straw,UplandPE_Straw,922.305,178.166
62,SYSRU2,SYS,Upland,Maize,PE_Straw,UplandPE_Straw,950.404,182.171
63,SYSRU3,SYS,Upland,Maize,PE_Straw,UplandPE_Straw,960.282,157.682
64,SPRU1,SP,Upland,Maize,PE_Straw,UplandPE_Straw,1152.479,308.158
65,SPRU2,SP,Upland,Maize,PE_Straw,UplandPE_Straw,948.618,223.602
66,SPRU3,SP,Upland,Maize,PE_Straw,UplandPE_Straw,951.182,215.197
67,DHRU1,DH,Upland,Maize,PE_Straw,UplandPE_Straw,1023.178,199.126
68,DHRU2,DH,Upland,Maize,PE_Straw,UplandPE_Straw,1253.699,336.739
69,DHRU3,DH,Upland,Maize,PE_Straw,UplandPE_Straw,883.945,176.929
70,HLRU1,HL,Upland,Maize,PE_Straw,UplandPE_Straw,635.919,157.233
71,HLRU2,HL,Upland,Maize,PE_Straw,UplandPE_Straw,883.908,183.335
72,HLRU3,HL,Upland,Maize,PE_Straw,UplandPE_Straw,411.596,100.689
73,HEBRU1,HEB,Upland,Maize,PE_Straw,UplandPE_Straw,362.593,63.178
74,HEBRU2,HEB,Upland,Maize,PE_Straw,UplandPE_Straw,429.574,85.667
75,HEBRU3,HEB,Upland,Maize,PE_Straw,UplandPE_Straw,294.47,43.83
76,NJRU1,NJ,Upland,Maize,PE_Straw,UplandPE_Straw,761.857,120.633
77,NJRU2,NJ,Upland,Maize,PE_Straw,UplandPE_Straw,389.338,97.947
78,NJRU3,NJ,Upland,Maize,PE_Straw,UplandPE_Straw,648.707,104.627
79,HMRU1,HM,Upland,Maize,PE_Straw,UplandPE_Straw,522.958,109.664
80,HMRU2,HM,Upland,Maize,PE_Straw,UplandPE_Straw,594.33,94.922
81,HMRU3,HM,Upland,Maize,PE_Straw,UplandPE_Straw,589.551,99.58
82,MHRU1,MH,Upland,Soybean,PE_Straw,UplandPE_Straw,617.932,165.312
83,MHRU2,MH,Upland,Soybean,PE_Straw,UplandPE_Straw,547.58,119.249
84,MHRU3,MH,Upland,Soybean,PE_Straw,UplandPE_Straw,722.886,143.735
85,SYRU1,SY,Upland,MangoOrchard,PE_BR,UplandPE_BR,602.154,284.2073006
86,SYRU2,SY,Upland,Orchard,PE_BR,UplandPE_BR,686.076,126.9252759
87,SYRU3,SY,Upland,Maize,PE_BR,UplandPE_BR,803.424,65.10341805
88,HKRU1,HK,Upland,LitchiOrchard,PE_BR,UplandPE_BR,839.502,90.45939386
89,HKRU2,HK,Upland,LitchiOrchard,PE_BR,UplandPE_BR,763.322,61.65983619
90,HKRU3,HK,Upland,LitchiOrchard,PE_BR,UplandPE_BR,730.699,82.80618313
91,SXRU1,SX,Upland,Saccharum,PE_BR,UplandPE_BR,785.49,49.97616017
92,SXRU2,SX,Upland,Saccharum,PE_BR,UplandPE_BR,744.136,47.97252304
93,SXRU3,SX,Upland,Saccharum,PE_BR,UplandPE_BR,590.665,125.7592056
94,YLRU1,YL,Upland,Maize,PE_BR,UplandPE_BR,488.283,56.6943015
95,YLRU2,YL,Upland,Maize,PE_BR,UplandPE_BR,673.919,141.986005
96,YLRU3,YL,Upland,Maize,PE_BR,UplandPE_BR,626.743,183.3680437
97,WZRU1,WZ,Upland,Maize,PE_BR,UplandPE_BR,445.846,38.11601936
98,WZRU2,WZ,Upland,Maize,PE_BR,UplandPE_BR,484.701,100.4301666
99,WZRU3,WZ,Upland,Peanut,PE_BR,UplandPE_BR,633.645,6.804513997
100,JHRU1,JH,Upland,Peanut,PE_BR,UplandPE_BR,313.667,207.572697
101,JHRU2,JH,Upland,Teabush,PE_BR,UplandPE_BR,492.895,296.3541666
102,JHRU3,JH,Upland,Peanut,PE_BR,UplandPE_BR,564.198,293.3241668
103,QYRU1,QY,Upland,Maize,PE_BR,UplandPE_BR,782.997,179.1407561
104,QYRU2,QY,Upland,SweetPotato,PE_BR,UplandPE_BR,897.059,144.6439592
105,QYRU3,QY,Upland,Maize,PE_BR,UplandPE_BR,913.038,74.630787
106,LDRU1,LD,Upland,Teabush,PE_BR,UplandPE_BR,1144.393,138.8028683
107,LDRU2,LD,Upland,Maize,PE_BR,UplandPE_BR,1117.932,82.96160293
108,LDRU3,LD,Upland,Vegetable,PE_BR,UplandPE_BR,1001.185,49.15275481
109,YiYangRU1,YiYang,Upland,Grape,PE_BR,UplandPE_BR,1032.616,174.4905231
110,YiYangRU2,YiYang,Upland,Grape,PE_BR,UplandPE_BR,1004.587,186.0968893
111,YiYangRU3,YiYang,Upland,Grape,PE_BR,UplandPE_BR,1191.38,163.0679029
112,HRRU1,HR,Upland,Cole,PE_BR,UplandPE_BR,626.18,60.65310675
113,HRRU2,HR,Upland,Cole,PE_BR,UplandPE_BR,468.453,81.22202041
114,HRRU3,HR,Upland,Cole,PE_BR,UplandPE_BR,451.089,76.57960077
115,QJRU1,QJ,Upland,Wheat,PE_BR,UplandPE_BR,727.145,136.8791504
116,QJRU2,QJ,Upland,Wheat,PE_BR,UplandPE_BR,775.803,96.38475502
117,QJRU3,QJ,Upland,Wheat,PE_BR,UplandPE_BR,687.528,250.8093409
118,XGRU1,XG,Upland,Cotton,PE_BR,UplandPE_BR,1020.089,108.1176414
119,XGRU2,XG,Upland,Wheat,PE_BR,UplandPE_BR,945.409,155.0277585
120,XGRU3,XG,Upland,Wheat,PE_BR,UplandPE_BR,1086.005,130.0880253
121,XYRU1,XY,Upland,Maize,PE_BR,UplandPE_BR,947.486,72.92252148
122,XYRU2,XY,Upland,Maize,PE_BR,UplandPE_BR,1078.912,36.5279372
123,XYRU3,XY,Upland,Maize,PE_BR,UplandPE_BR,1055.704,167.0412946
124,LHRU1,LH,Upland,Wheat,PE_BR,UplandPE_BR,859.877,310.7556817
125,LHRU2,LH,Upland,Wheat,PE_BR,UplandPE_BR,1270.509,186.5064244
126,LHRU3,LH,Upland,Wheat,PE_BR,UplandPE_BR,725.766,367.3741482
127,YYRU1,YY,Upland,Wheat,PE_BR,UplandPE_BR,512.438,467.154422
128,YYRU2,YY,Upland,Wheat,PE_BR,UplandPE_BR,512.054,390.8517291
129,YYRU3,YY,Upland,Wheat,PE_BR,UplandPE_BR,657.266,122.4284536
130,HDRU1,HD,Upland,Wheat,PE_BR,UplandPE_BR,267.143,235.6474447
131,HDRU2,HD,Upland,Wheat,PE_BR,UplandPE_BR,605.062,225.2237405
132,HDRU3,HD,Upland,Wheat,PE_BR,UplandPE_BR,336.134,454.7783776
133,XJRU1,XJ,Upland,Wheat,PE_BR,UplandPE_BR,422.928,182.5340168
134,XJRU2,XJ,Upland,Wheat,PE_BR,UplandPE_BR,519.516,325.4922469
135,XJRU3,XJ,Upland,Wheat,PE_BR,UplandPE_BR,478.138,167.8330615
136,BZRU1,BZ,Upland,Wheat,PE_BR,UplandPE_BR,600.052,169.487386
137,BZRU2,BZ,Upland,Wheat,PE_BR,UplandPE_BR,679.589,135.8301128
138,BZRU3,BZ,Upland,Wheat,PE_BR,UplandPE_BR,959.909,218.5094451
139,QHDRU1,QHD,Upland,Maize,PE_BR,UplandPE_BR,771.92,65.05110804
140,QHDRU2,QHD,Upland,Maize,PE_BR,UplandPE_BR,1009.342,88.53039416
141,QHDRU3,QHD,Upland,Maize,PE_BR,UplandPE_BR,989.383,90.89185144
142,PJRU1,PJ,Upland,Maize,PE_BR,UplandPE_BR,644.707,57.00985509
143,PJRU2,PJ,Upland,Maize,PE_BR,UplandPE_BR,507.641,52.74304717
144,PJRU3,PJ,Upland,Maize,PE_BR,UplandPE_BR,518.05,111.5889446
145,SYSRU1,SYS,Upland,Maize,PE_BR,UplandPE_BR,922.305,81.73770099
146,SYSRU2,SYS,Upland,Maize,PE_BR,UplandPE_BR,950.404,212.4881964
147,SYSRU3,SYS,Upland,Maize,PE_BR,UplandPE_BR,960.282,173.63794
148,SPRU1,SP,Upland,Maize,PE_BR,UplandPE_BR,1152.479,33.91482989
149,SPRU2,SP,Upland,Maize,PE_BR,UplandPE_BR,948.618,109.6801857
150,SPRU3,SP,Upland,Maize,PE_BR,UplandPE_BR,951.182,106.3658059
